ID,Age,IQ,Q1,Q2,Q3,Q4,Q5,Time Seconds,Label
1,9,5,Y,Y,Y,Y,Y,529,N
2,9,5,Y,Y,N,Y,N,162,N
3,9,4,Y,Y,Y,Y,Y,160,N
4,9,5,Y,Y,N,Y,Y,227,N
5,9,4,Y,Y,Y,N,N,189,N
6,9,4,Y,Y,Y,Y,Y,234,N
7,9,4,Y,Y,Y,Y,Y,506,N
8,9,4,Y,Y,Y,N,Y,481,N
9,9,4,Y,Y,Y,N,Y,195,N
10,9,4,Y,Y,Y,N,N,570,N
11,9,5,Y,N,Y,Y,Y,225,N
12,9,4,N,Y,N,N,Y,352,Y
13,9,5,N,N,N,N,N,656,Y
14,9,3,N,Y,Y,N,Y,300,N
15,9,3,Y,Y,Y,N,N,325,N
16,9,2,Y,Y,N,N,N,601,N
17,9,5,Y,Y,N,Y,N,157,N
18,9,5,Y,Y,N,N,Y,252,N
19,9,5,Y,Y,N,Y,N,351,N
20,9,4,Y,Y,Y,Y,Y,241,N
21,9,5,Y,Y,Y,N,Y,362,N
22,9,4,Y,Y,Y,Y,N,366,N
23,9,4,Y,Y,Y,Y,Y,227,N
24,9,5,N,N,Y,N,Y,282,Y
25,9,4,Y,Y,N,N,Y,232,N
26,9,3,Y,Y,Y,Y,Y,548,N
27,9,5,Y,Y,Y,N,Y,259,N
28,9,5,Y,Y,Y,Y,N,368,N
29,9,5,Y,N,Y,Y,Y,275,N
30,9,4,Y,N,N,N,Y,251,Y
31,9,4,Y,Y,Y,N,Y,245,N
32,9,1,Y,Y,Y,Y,N,161,N
33,9,4,Y,Y,N,Y,Y,145,N
34,9,3,N,N,N,Y,N,346,Y
35,9,1,Y,Y,Y,Y,,358,N
36,9,3,Y,Y,Y,Y,Y,263,N
37,9,2,Y,N,Y,Y,N,437,N
38,9,1,Y,Y,N,Y,Y,217,N
39,9,4,Y,Y,N,Y,N,234,N
40,9,5,,N,Y,N,Y,332,Y
41,9,5,N,Y,Y,N,N,451,Y
42,9,4,Y,Y,Y,Y,Y,408,N
43,9,4,Y,Y,Y,Y,Y,546,N
44,9,3,N,Y,Y,Y,,533,N
45,9,3,N,N,N,N,Y,480,Y
46,9,3,Y,Y,Y,Y,Y,181,N
47,9,3,Y,Y,Y,Y,Y,130,N
48,9,4,N,Y,N,Y,N,663,Y
49,9,4,Y,N,Y,Y,Y,344,N
50,9,5,Y,Y,N,Y,Y,234,N
51,9,4,Y,Y,Y,N,Y,446,N
52,9,4,Y,N,Y,N,,141,N
53,10,4,Y,Y,Y,Y,Y,523,N
54,10,5,N,Y,Y,N,Y,197,N
55,10,3,Y,Y,Y,N,N,551,N
56,10,4,Y,Y,N,Y,,131,N
57,10,5,Y,Y,Y,Y,Y,677,N
58,10,4,Y,Y,Y,Y,Y,180,N
59,10,5,Y,Y,Y,Y,N,294,N
60,10,3,Y,N,Y,N,Y,218,N
61,10,5,Y,N,N,Y,Y,367,N
62,10,4,Y,Y,Y,Y,Y,268,N
63,10,5,N,Y,N,N,Y,333,Y
64,10,3,Y,N,Y,N,Y,572,N
65,10,2,,Y,N,Y,Y,168,N
66,10,5,Y,N,Y,Y,Y,322,N
67,10,4,Y,Y,N,Y,Y,192,N
68,10,5,Y,Y,N,N,Y,277,N
69,10,4,Y,Y,Y,Y,Y,266,N
70,10,5,N,N,Y,Y,N,221,Y
71,10,3,N,Y,Y,Y,N,182,N
72,10,4,N,Y,N,Y,Y,190,N
73,10,2,Y,N,Y,Y,N,636,N
74,10,1,Y,Y,Y,N,Y,229,N
75,10,4,Y,Y,Y,Y,Y,455,N
76,10,3,Y,Y,Y,Y,,193,N
77,10,4,Y,Y,Y,N,Y,378,N
78,10,5,Y,N,N,N,N,486,Y
79,10,4,Y,Y,Y,N,N,375,N
80,10,3,N,Y,N,Y,Y,130,N
81,10,4,Y,N,N,N,Y,459,Y
82,10,5,Y,N,Y,N,Y,515,N
83,10,4,Y,Y,Y,N,Y,586,N
84,10,3,N,Y,N,,,509,Y
85,10,2,Y,Y,N,Y,Y,320,N
86,10,3,N,Y,Y,Y,Y,400,N
87,10,2,N,Y,Y,Y,Y,601,N
88,10,3,Y,Y,Y,Y,N,420,N
89,10,4,Y,Y,Y,Y,Y,479,N
90,10,5,Y,Y,Y,N,Y,581,N
91,10,5,Y,Y,N,Y,Y,403,N
92,10,4,Y,Y,Y,Y,Y,505,N
93,10,3,Y,N,Y,Y,N,191,N
94,10,4,Y,Y,Y,Y,Y,662,N
95,10,4,Y,Y,N,Y,Y,239,N
96,10,4,Y,Y,Y,Y,Y,502,N
97,10,4,Y,Y,N,Y,N,359,N
98,10,4,Y,Y,N,Y,N,664,N
99,10,1,N,N,Y,N,N,294,N
100,10,3,Y,Y,Y,Y,Y,505,N
101,10,4,N,N,Y,N,Y,257,Y
102,10,3,Y,Y,N,N,N,137,N
103,8,3,Y,Y,Y,N,N,232,N
104,8,3,Y,Y,Y,Y,N,580,N
105,8,3,Y,Y,Y,Y,N,233,N
106,8,4,N,N,Y,Y,N,587,Y
107,8,4,N,Y,N,Y,Y,338,N
108,8,4,Y,Y,Y,N,Y,265,N
109,8,3,Y,Y,Y,Y,Y,542,N
110,8,4,N,Y,N,N,Y,530,Y
111,8,4,Y,Y,N,Y,,586,N
112,8,4,Y,Y,Y,Y,,393,N
113,8,2,Y,Y,Y,N,N,277,N
114,8,3,Y,Y,Y,N,Y,204,N
115,8,4,Y,Y,Y,Y,,438,N
116,8,3,N,Y,N,N,,459,Y
117,8,4,Y,Y,Y,N,Y,233,N
118,8,3,Y,N,Y,N,N,403,N
119,8,2,Y,Y,Y,Y,Y,490,N
120,8,3,Y,Y,Y,Y,N,224,N
121,8,4,Y,Y,Y,Y,Y,487,N
122,8,3,Y,Y,N,Y,Y,293,N
123,8,4,Y,Y,Y,Y,N,537,N
124,8,5,Y,Y,Y,Y,,247,N
125,8,4,Y,Y,Y,N,N,589,N
126,8,2,Y,Y,Y,N,,614,N
127,8,4,Y,Y,Y,Y,Y,150,N
128,8,2,Y,Y,Y,N,N,159,N
129,8,5,Y,Y,N,Y,N,359,N
130,8,4,Y,Y,Y,Y,Y,263,N
131,8,5,N,N,N,Y,N,263,Y
132,8,5,Y,N,Y,Y,N,261,N
133,8,5,Y,Y,Y,Y,,156,N
134,8,5,Y,Y,Y,Y,Y,286,N
135,8,4,N,Y,N,Y,Y,521,N
136,8,4,Y,Y,Y,Y,Y,314,N
137,8,3,N,Y,Y,Y,Y,174,N
138,8,5,Y,Y,N,Y,,172,N
139,8,4,Y,Y,N,N,Y,397,N
140,8,3,Y,N,N,Y,N,337,N
141,8,3,N,N,Y,N,Y,254,N
142,8,5,Y,Y,Y,N,N,398,N
143,8,4,Y,Y,Y,N,Y,286,N
144,9,3,Y,Y,Y,,Y,275,N
145,9,4,Y,Y,Y,Y,Y,198,N
146,9,5,Y,N,Y,Y,Y,364,N
147,9,4,N,N,Y,N,N,514,Y
148,9,3,Y,N,Y,Y,N,301,N
149,9,2,N,Y,N,Y,N,342,N
150,9,5,N,Y,Y,Y,N,604,N
151,9,4,Y,Y,Y,Y,N,126,N
152,9,3,Y,Y,N,N,N,172,N
153,9,5,N,N,Y,Y,N,580,Y
154,9,4,Y,Y,N,Y,,589,N
155,9,3,Y,Y,N,Y,Y,194,N
156,9,2,Y,Y,N,Y,N,169,N
157,9,3,Y,Y,Y,Y,N,203,N
158,9,2,Y,Y,N,N,N,372,N
159,9,3,Y,Y,Y,Y,,453,N
160,9,4,Y,Y,Y,N,Y,509,N
161,9,3,N,N,Y,N,,343,Y
162,9,4,Y,Y,Y,Y,N,477,N
163,9,5,Y,Y,N,Y,Y,537,N
164,9,3,Y,Y,Y,N,Y,351,N
165,9,2,Y,Y,Y,Y,N,606,N
166,9,3,Y,Y,Y,Y,N,331,N
167,9,4,Y,Y,Y,N,Y,443,N
168,9,4,Y,Y,Y,Y,Y,146,N
169,9,4,N,Y,Y,Y,Y,178,N
170,9,4,Y,Y,Y,N,Y,362,N
