ID,Age,IQ,Q1,Q2,Q3,Q4,Q5,Time Seconds,Label
1,10,5,Y,N,N,N,N,60,Y
2,10,5,Y,Y,Y,Y,,75,N
3,10,4,N,N,N,N,N,62,Y
4,10,5,Y,Y,Y,Y,Y,100,N
6,10,3,N,N,N,N,N,20,Y
5,10,4,Y,,N,,,127,Y
9,10,4,Y,Y,Y,Y,Y,170,N
10,10,4,Y,Y,Y,Y,Y,109,N
11,10,4,N,N,N,N,N,70,Y
12,10,4,N,Y,Y,N,Y,80,N
13,10,4,Y,N,Y,N,Y,60,Y
14,10,5,Y,N,Y,Y,Y,95,N
15,10,4,Y,N,Y,Y,Y,95,N
16,10,5,Y,Y,Y,Y,Y,240,N
17,10,3,Y,Y,Y,Y,Y,180,N
18,10,3,Y,Y,Y,Y,,175,N
19,10,2,Y,Y,Y,Y,N,165,N
20,10,5,Y,Y,N,Y,,100,N
21,10,5,N,Y,Y,Y,Y,95,N
22,10,5,Y,Y,Y,N,Y,95,N
23,10,4,Y,Y,Y,Y,Y,100,N
24,10,5,Y,Y,Y,N,Y,105,N
25,10,4,Y,Y,N,Y,Y,117,N
25,10,4,Y,N,Y,Y,Y,100,N
26,10,5,Y,N,N,Y,,195,Y
27,10,4,Y,Y,Y,Y,Y,167,N
28,10,2,N,N,Y,N,N,150,N
29,10,1,N,Y,N,N,N,150,N
29,10,5,Y,Y,Y,Y,Y,120,N
30,10,5,Y,Y,Y,N,Y,120,N
31,10,4,Y,Y,Y,Y,Y,120,N
32,10,4,N,N,Y,N,N,210,Y
33,10,1,Y,Y,Y,Y,Y,157,N
34,8,4,Y,Y,Y,Y,N,160,N
35,8,4,N,N,N,N,N,190,Y
36,8,1,Y,,N,N,,50,N
38,8,3,N,N,N,N,N,60,Y
39,8,2,Y,Y,N,Y,,180,N
40,8,1,Y,Y,Y,N,Y,120,N
41,8,4,Y,Y,Y,Y,,70,N
42,8,5,Y,Y,N,Y,,116,N
43,8,5,Y,Y,N,Y,N,76,N
44,8,4,Y,N,N,N,N,60,Y
45,8,4,Y,N,Y,Y,N,153,N
46,8,3,Y,Y,Y,N,N,83,N
47,8,4,Y,N,N,N,N,60,Y
48,8,3,Y,N,Y,Y,,77,N
49,8,3,Y,,N,N,N,69,Y
50,8,4,Y,N,N,N,N,200,Y
51,8,4,Y,Y,N,Y,N,60,N
52,8,5,Y,Y,Y,Y,N,45,N
53,9,4,Y,Y,Y,Y,Y,88,N
54,9,4,Y,Y,Y,Y,Y,59,N
55,9,4,Y,Y,Y,Y,Y,65,N
56,9,5,Y,Y,Y,Y,Y,75,N
57,9,3,Y,N,N,Y,Y,150,N
58,9,4,Y,Y,Y,Y,Y,40,N
59,9,5,Y,N,N,Y,N,100,Y
60,9,4,Y,Y,Y,Y,Y,141,N
61,9,5,N,Y,Y,Y,N,130,N
62,9,3,Y,Y,Y,N,N,190,N
63,9,5,Y,Y,Y,Y,Y,200,N
64,9,4,Y,Y,Y,N,Y,160,N
65,9,5,Y,Y,Y,N,Y,100,N
66,9,3,Y,Y,N,Y,Y,120,N
67,9,2,Y,Y,Y,Y,Y,124,N
68,9,5,Y,Y,Y,Y,N,60,N
69,9,4,Y,Y,Y,Y,Y,60,N
70,9,5,N,Y,N,N,Y,70,Y
71,9,4,Y,N,Y,Y,Y,80,N
72,9,5,N,Y,Y,Y,Y,88,N
73,9,2,N,N,N,Y,N,79,N
74,9,4,Y,Y,Y,Y,Y,50,N
75,9,2,Y,Y,Y,Y,Y,65,N
76,9,1,Y,N,Y,Y,Y,200,N
77,9,4,Y,N,Y,Y,Y,180,N
78,9,1,Y,N,N,Y,N,200,N
79,9,4,Y,Y,Y,Y,N,165,N
80,9,5,Y,Y,Y,Y,Y,110,N
81,8,4,Y,Y,Y,Y,N,60,N
82,8,3,N,Y,Y,Y,Y,70,N
83,8,4,N,Y,Y,Y,Y,90,N
84,8,5,N,N,Y,Y,Y,280,N
85,8,4,Y,Y,Y,Y,Y,80,N
86,8,3,Y,Y,Y,Y,N,90,N
87,8,2,Y,N,N,Y,Y,96,N
