ID,Age,IQ,Q1,Q2,Q3,Q4,Q5,Time Seconds,Label
1,9,5,Y,Y,Y,N,N,96,N
2,9,5,Y,Y,N,Y,Y,105,N
3,9,4,Y,Y,Y,Y,N,112,N
4,9,5,Y,Y,Y,N,N,107,N
5,9,4,Y,Y,N,Y,Y,241,N
6,9,4,Y,Y,N,Y,Y,130,N
7,9,4,Y,N,Y,Y,Y,92,N
8,9,4,Y,Y,Y,Y,,137,N
9,9,4,N,Y,Y,Y,Y,179,N
10,9,4,Y,Y,N,Y,N,215,N
11,9,5,Y,,Y,N,Y,180,N
12,9,4,Y,Y,Y,Y,Y,112,N
13,9,5,Y,Y,Y,N,N,229,N
14,9,3,Y,Y,Y,N,N,120,N
15,9,3,,Y,N,N,Y,123,N
16,9,2,Y,Y,N,Y,Y,129,N
17,9,5,Y,Y,Y,Y,N,112,N
18,9,5,Y,Y,Y,Y,Y,278,N
19,9,5,Y,Y,Y,N,N,218,N
20,9,4,Y,Y,Y,Y,,100,N
21,9,5,Y,N,Y,Y,N,255,N
22,9,4,Y,Y,Y,Y,Y,85,N
23,9,4,N,Y,Y,N,N,206,N
24,9,5,Y,N,Y,Y,N,197,N
25,9,4,Y,Y,Y,,N,100,N
26,9,3,Y,Y,Y,Y,Y,107,N
27,9,5,Y,Y,Y,Y,Y,145,N
28,9,5,Y,Y,Y,N,Y,99,N
29,9,5,Y,Y,N,Y,N,130,N
30,9,4,Y,Y,Y,Y,N,124,N
31,9,4,Y,Y,Y,N,N,249,N
32,9,1,Y,Y,Y,Y,N,136,N
33,9,4,N,Y,N,N,Y,105,N
34,9,3,Y,Y,Y,Y,Y,167,N
35,9,1,Y,Y,Y,Y,Y,125,N
36,9,3,Y,Y,Y,Y,Y,140,N
37,9,2,Y,Y,Y,N,N,103,N
38,9,1,N,Y,Y,Y,Y,145,N
39,9,4,N,Y,Y,N,N,102,N
40,9,5,Y,Y,Y,Y,N,113,N
41,9,5,Y,Y,N,Y,N,225,N
42,9,4,Y,Y,Y,Y,Y,122,N
43,9,4,N,Y,Y,Y,Y,222,N
44,9,3,Y,Y,Y,Y,Y,105,N
45,9,3,Y,Y,Y,N,Y,84,N
46,9,3,Y,Y,Y,Y,N,137,N
47,9,3,Y,N,Y,Y,Y,83,N
48,9,4,Y,Y,Y,Y,Y,124,N
49,9,4,Y,Y,Y,Y,N,160,N
50,9,5,N,Y,,Y,N,133,N
51,9,4,Y,Y,N,Y,Y,81,N
52,9,4,Y,Y,Y,Y,,104,N
53,10,4,Y,Y,N,N,N,95,N
54,10,5,Y,Y,Y,Y,Y,131,N
55,10,3,Y,Y,Y,N,Y,95,N
56,10,4,Y,Y,Y,Y,N,119,N
57,10,5,N,Y,Y,Y,Y,93,N
58,10,4,Y,N,N,N,Y,101,N
59,10,5,Y,N,N,Y,N,133,N
60,10,3,Y,Y,Y,Y,N,93,N
61,10,5,Y,Y,N,N,Y,187,N
62,10,4,Y,Y,Y,N,Y,281,N
63,10,5,Y,Y,Y,Y,N,144,N
64,10,3,Y,Y,Y,Y,N,82,N
65,10,2,Y,N,Y,Y,Y,227,N
66,10,5,Y,Y,Y,Y,N,100,N
67,10,4,Y,Y,Y,N,N,141,N
68,10,5,Y,Y,N,Y,Y,100,N
69,10,4,Y,Y,N,,Y,96,N
